,Port,Navire,Type Navire,Jauge Brute,Tirant Eau Entree Avant,Tirant Eau Entree Arriere,Tirant Eau Sortie Avant,Tirant Eau Sortie Arriere,Nbr Remorque Accostage,Nbr Remorque Appareillage,Nbr Remorque Changement,Nbr Remorque Assistance,Provenances,Destinations,Armateur Disposant,Armateur Proprietaire,Date Entrée au Port,Heure Entrée au Port,Date Entree Mouillage,Heure Entree Mouillage,Date Sortie Mouillage,Heure Sortie Mouillage,Date Accostage,Heure Accostage,Date App Quai,Heure App Quai,Poste Accostage,Date Appareillage Port,Heure Appareillage Port,Longueur,Tirant Eau,Sejour Rade (Jours),Sejour Mouillage (Jours),Sejour Quai (Jours),Sejour Port (Jours),Marchandise DAP Import,Tonnage DAP Import,Marchandise DAP Export,Tonnage DAP Export
1042,CASABLANCA,MARCUS,CONVENTIONEL,2461,5.2,5.6,2.8,3.2,0,0,0,0,LA CORUNA,A ORDRE,ISLAND ESCAPE SA,BOECKMANS SHIPPING NV,12/08/2025,19:33,,,,,12/08/2025,20:55,14/08/2025,08:35,T2,14/08/25,09:35,87.9,5.59,"0,00","0,00","1,49","1,59",PANNEAUX DE FIBRE,2790.0,,0.0
1043,CASABLANCA,SPRING C,PORTE CONTENEUR,36483,11.7,11.9,9.0,10.0,2,2,0,0,"MALTA FREEPORT DISTRIPARK , ALIAGA , GEBZE , AMBARLI , VALENCIA",TANGER MED,CMA-CGM,HERCULES STAR S.A.,06/08/2025,23:11,,,,,07/08/2025,00:20,13/08/2025,14:10,54,13/08/25,14:52,238.87,12.0,"0,00","0,00","6,58","6,65",CONTENEURS,13014.0,CONTENEURS,13575.0
1044,CASABLANCA,WILD ROSE LEADER,ROULIER,71846,9.35,9.35,8.1,8.1,2,1,0,0,"TAIPEI , SINGAPORE",A ORDRE,GOLDEN TRUST CARRIERS S.A,GOLDEN TRUST CARRIERS S.A,12/08/2025,03:55,12/08/2025,03:56,12/08/2025,22:45,12/08/2025,23:55,13/08/2025,05:05,44,13/08/25,05:57,199.9,10.1,"0,00","0,78","0,21","1,09",VEHICULES,269047.0,,0.0
1045,CASABLANCA,WEC BOUMEESTER,PORTE CONTENEUR,5941,6.0,6.5,6.0,6.5,0,0,0,0,"DUBLIN , LIVERPOOL , FIGUEIRA DA FOZ , DUISBURG , ANTWERPEN , SETÚBAL , MOERDIJK , MONTOIR-DE-BRETAGNE , HAMBURG",A ORDRE,HOLLAND MAAS SCHEEPVAARTBEHEER V,HOLLAND MAAS SCHEEPVAARTBEHEER V,11/08/2025,20:50,11/08/2025,20:51,12/08/2025,19:36,12/08/2025,20:15,13/08/2025,21:50,74,13/08/25,22:31,132.23,7.5,"0,00","0,95","1,07","2,07",CONTENEURS,1234.0,CONTENEURS,1423.0
1046,CASABLANCA,ALSTERDIEP,CONVENTIONEL,2984,4.8,5.2,4.0,4.0,0,0,0,0,PIOMBINO,A ORDRE,CONTI-CARWIL LTD.,POOL-CARRIERS SCHIFFAHRTS MBH & CO.,08/08/2025,16:51,,,,,08/08/2025,18:30,13/08/2025,00:35,10,13/08/25,01:29,89.98,5.1,"0,00","0,00","4,25","4,36",RAILS,3442.085,,0.0
1047,CASABLANCA,SIENNA,CONVENTIONEL,5109,6.0,6.6,4.0,4.6,2,2,0,0,ZONGULDAK,A ORDRE,PLATIN SHIPPING & TRADING CO LTD,PLATIN SHIPPING & TRADING CO LTD,10/08/2025,00:07,10/08/2025 | 12/08/2025,00:08 | 20:46,10/08/2025 | 13/08/2025,23:25 | 13:56,11/08/2025,01:40,12/08/2025,20:05,12,13/08/25,13:57,119.6,6.65,"0,00","1,68","1,77","3,58",FARDEAUX FER,7157.0,,0.0
1048,CASABLANCA,CASABLANCA A,PORTE CONTENEUR,15995,7.8,7.9,7.2,7.5,1,1,0,0,ALGECIRAS,ALGECIRAS,MAROC FEEDERING,MAROC FEEDERING,09/08/2025,12:50,09/08/2025,12:51,09/08/2025,15:46,11/08/2025,19:00,13/08/2025,15:25,83,13/08/25,16:10,170.15,9.5,"0,00","0,12","1,85","4,14",CONTENEURS,2800.0,CONTENEURS,2400.0
1049,CASABLANCA,MSC ATLANTIC III,PORTE CONTENEUR,37071,10.5,10.0,10.5,10.5,3,2,0,0,"LE HAVRE , ANTWERPEN",LAS PALMAS DE GRAN CANARIA,MSC GENEVE,MSC SHIP MANAGEMENT LTD,09/08/2025,11:10,09/08/2025,11:11,09/08/2025,11:23,10/08/2025,16:45,12/08/2025,11:45,80,12/08/25,12:39,237.0,12.0,"0,00","0,01","1,79","3,06",CONTENEURS,10800.0,CONTENEURS,8600.0
1050,CASABLANCA,ATLANTIC ISLAND,CONVENTIONEL,3164,4.5,4.5,3.0,3.8,0,0,0,0,"FIGUEIRA DA FOZ , GIJON",A ORDRE,NAVIERA CONSIGNATARIA SAN MAMES,ATLANTIC ISLAND SHIPPING CORP,06/08/2025,10:56,06/08/2025 | 07/08/2025,10:57 | 12:43,06/08/2025 | 12/08/2025,21:16 | 08:18,06/08/2025,22:00,07/08/2025,12:10,T2,12/08/25,08:19,95.32,5.72,"0,00","5,25","0,59","5,89",PATE A PAPIER,1500.0,,0.0
1051,CASABLANCA,NORA MAERSK,PORTE CONTENEUR,27733,11.17,11.17,11.17,11.17,2,1,0,0,"VALENCIA , BARCELONA",ALGECIRAS,MOLLER-MAERSK,MOLLER-MAERSK,09/08/2025,17:31,09/08/2025,17:32,09/08/2025,17:35,10/08/2025,18:00,12/08/2025,19:30,74,12/08/25,20:07,198.6,11.0,"0,00","0,00","2,06","3,11",CONTENEURS,10000.0,CONTENEURS,7000.0
1052,CASABLANCA,MARLEY,CONVENTIONEL,2061,4.0,4.2,2.8,3.2,0,0,0,0,WILLEBROEK,A ORDRE,ISLAND ESCAPE SA,REDERIJ MARTIN NV,08/08/2025,18:06,09/08/2025,05:35,12/08/2025,12:24,08/08/2025,19:20,09/08/2025,04:50,32,12/08/25,12:25,88.48,4.95,"0,00","3,28","0,40","3,76",BOIS EN FARDEAUX,1094.0,,0.0
1053,CASABLANCA,ASTURIAS,ROULIER,39362,8.0,8.3,7.8,8.0,1,1,0,0,"ZEEBRUGGE , VIGO",A ORDRE,EOGHAN MARITIME 2001 DESIGNATED ACT,EOGHAN MARITIME 2001 DESIGNATED ACT,11/08/2025,23:03,,,,,12/08/2025,00:50,12/08/2025,22:30,44,12/08/25,23:04,167.25,8.6,"0,00","0,00","0,90","1,00",VEHICULES,1480.0,,0.0
1054,CASABLANCA,BREB COURAGEOUS,CONVENTIONEL,5630,4.7,5.2,3.5,5.0,1,1,0,0,RIJEKA,A ORDRE,BREB GMBH & CO KG,BREB GMBH & CO KG,11/08/2025,12:54,11/08/2025,12:55,11/08/2025,17:30,11/08/2025,18:35,12/08/2025,12:30,30,12/08/25,13:30,108.2,7.03,"0,00","0,19","0,75","1,03",BOIS EN FARDEAUX PREELING,1753.0,,0.0
1055,CASABLANCA,CMA CGM DAKHLA,PORTE CONTENEUR,10585,6.7,8.2,7.0,8.0,1,0,0,0,TANGER MED,AGADIR,CMA-CGM,COMANAV,08/08/2025,22:26,08/08/2025,22:27,10/08/2025,22:10,10/08/2025,23:35,11/08/2025,22:45,51,11/08/25,23:40,151.74,8.0,"0,00","1,99","0,96","3,05",CONTENEURS,3990.0,CONTENEURS,3236.0
1056,CASABLANCA,GRANDE MAROCCO,ROULIER,47635,8.2,9.0,9.0,9.0,1,1,0,0,"MARSEILLE , GIOIA TAURO , LIVORNO , SALERNO , GENOVA",DAKAR,GRIMALDI GROUPE NAPOLI,GRIMALDI GROUPE NAPOLI,10/08/2025,09:02,,,,,10/08/2025,10:40,11/08/2025,16:45,44,11/08/25,17:32,211.3,9.75,"0,00","0,00","1,25","1,35",VEHICULES,1200.0,VEHICULES,900.0
1057,CASABLANCA,X-PRESS SOUSSE,PORTE CONTENEUR,9981,8.0,8.5,8.0,8.2,0,0,0,0,TANGER MED,TANGER MED,X.PRESS CONTAINERS LINES,X.PRESS CONTAINERS LINES,06/08/2025,02:47,06/08/2025,02:48,09/08/2025,04:35,09/08/2025,05:45,10/08/2025,23:50,83,11/08/25,00:40,134.44,7.5,"0,00","3,07","1,75","4,91",CONTENEURS,8367.0,CONTENEURS,6500.0
1058,CASABLANCA,ALORA,VRAQUIER,33090,10.0,10.0,6.9,7.5,3,2,0,0,NEW ORLEANS,A ORDRE,HARBOR HIGHT MARINE INC,HARBOR HIGHT MARINE INC,03/08/2025,01:29,03/08/2025,01:30,03/08/2025,18:46,03/08/2025,20:25,11/08/2025,17:30,62,11/08/25,18:49,197.0,12.68,"0,00","0,72","7,88","8,72",CHARBON,36864.28,,0.0
1059,CASABLANCA,DAKOTA,VRAQUIER,5222,6.7,6.0,4.1,2.6,2,2,1,0,DERINCE,A ORDRE,PLATIN SHIPPING & TRADING CO,PLATIN SHIPPING & TRADING CO,07/08/2025,11:39,07/08/2025,11:40,07/08/2025,15:36,07/08/2025,16:40,11/08/2025,00:20,"13 ,12",11/08/25,01:30,119.95,6.71,"0,00","0,16","3,32","3,58",BIG BAG SODIUM,7022.4,,0.0
1060,CASABLANCA,ORIENT PRIDE,VRAQUIER,23456,9.75,9.85,3.2,5.1,3,2,0,0,CONSTANTA,A ORDRE,FEDNAV LTD,TIANJIN YUYUE6 LEASING LIMITED,05/08/2025,18:06,05/08/2025,18:07,07/08/2025,21:47,07/08/2025,23:30,11/08/2025,16:55,60,11/08/25,18:05,180.0,9.92,"0,00","2,15","3,73","6,00",BLE TENDRE,32599.0,,0.0
1061,CASABLANCA,MARIO A,PORTE CONTENEUR,17687,7.1,7.3,8.4,8.6,1,1,0,0,"ABIDJAN , TANGER MED",DAKAR,ANTLIA SHIPPING LIMITED,ANTLIA SHIPPING LIMITED,06/08/2025,22:46,06/08/2025,22:47,09/08/2025,17:10,09/08/2025,18:50,11/08/2025,17:45,71,11/08/25,18:33,183.92,9.0,"0,00","2,77","1,95","4,83",CONTENEURS,3400.0,CONTENEURS,3000.0
1062,CASABLANCA,SPANACO SIMPLICITY,VRAQUIER,2984,5.1,5.0,4.0,4.0,0,0,0,0,BERMEO,A ORDRE,SPANACO THREE LIMITED,SPANACO THREE LIMITED,09/08/2025,20:26,,,,,09/08/2025,21:20,11/08/2025,17:35,T2,11/08/25,18:22,89.98,5.1,"0,00","0,00","1,84","1,91",PANNEAUX DE FIBRE,2917.213,,0.0
1063,CASABLANCA,FINO,VOITURIER,11591,3.4,4.4,5.0,5.2,1,1,0,0,SAINT PETERSBURG (EX LENINGRAD),SAINT PETERSBURG (EX LENINGRAD),NEPTUNE LINES,UNITED SAILS S.A,10/08/2025,06:29,,,,,10/08/2025,07:55,11/08/2025,17:10,A2,11/08/25,18:03,126.9,6.2,"0,00","0,00","1,39","1,48",,0.0,VEHICULES,810.0
1064,CASABLANCA,SEATRADE CHILE,PORTE CONTENEUR,18680,8.15,9.15,7.0,8.0,1,1,0,0,"LE HAVRE , TANGER MED , ANTWERPEN , ROTTERDAM , TILBURY , VIGO , HAMBURG",ROTTERDAM,CHILE SHIPPING COMPANY N.V.,CHILE SHIPPING COMPANY N.V.,07/08/2025,15:18,07/08/2025,15:19,09/08/2025,00:35,09/08/2025,01:45,10/08/2025,22:35,51,10/08/25,23:25,171.9,9.7,"0,00","1,39","1,87","3,34",CONTENEURS,8616.0,CONTENEURS,3718.0
1065,CASABLANCA,FOUR BUTTERFLY,VRAQUIER,23456,9.75,9.75,6.2,6.8,2,2,0,0,"COATZACOALCOS , SANTOS",A ORDRE,ADVANCED MARINE SERVICE BVI.PIC KSE,PREMUDA SPA,03/08/2025,21:31,03/08/2025,21:32,07/08/2025,14:23,07/08/2025,15:50,10/08/2025,15:35,35,10/08/25,16:32,180.0,9.92,"0,00","3,70","2,99","6,79",SUCRE BRUT,32550.0,,0.0
1066,CASABLANCA,AM PRESTIGE,VRAQUIER,19999,9.75,9.75,6.2,4.1,2,2,0,0,ROUEN,A ORDRE,PACIFIC BASIN SHIPPING,PACIFIC BASIN,02/08/2025,21:12,02/08/2025,21:13,07/08/2025,11:48,07/08/2025,14:30,10/08/2025,13:25,20,10/08/25,14:35,176.5,10.0,"0,00","4,61","2,95","7,72",BLE TENDRE,29428.371,,0.0
1067,CASABLANCA,MSC JORDAN III,PORTE CONTENEUR,37071,10.5,10.5,10.3,10.3,3,2,0,0,"KOPER , VALENCIA , BARCELONA",VALENCIA,OCTAMPA MANAGEMENT SA,OCTAMPA MANAGEMENT SA,04/08/2025,19:16,04/08/2025,19:17,07/08/2025,10:35,07/08/2025,12:25,09/08/2025,23:10,80,10/08/25,00:04,237.0,10.3,"0,00","2,64","2,45","5,20",CONTENEURS,27300.0,CONTENEURS,8900.0
1068,CASABLANCA,SPIRIT,PORTE CONTENEUR,7713,7.3,7.3,7.3,7.3,0,0,0,0,"CASTELLON DE LA PLANA , ALICANTE , HUELVA , BARCELONA",HUELVA,ALISIOS SHIPPING LINES,SPIRIT SHIPPING INC,07/08/2025,08:17,07/08/2025,08:18,09/08/2025,22:57,10/08/2025,00:10,10/08/2025,15:05,80,10/08/25,15:43,141.65,7.3,"0,00","2,61","0,62","3,31",CONTENEURS,6542.0,CONTENEURS,3025.0
1069,CASABLANCA,IONIKOS,PORTE CONTENEUR,40560,8.4,9.0,11.2,11.4,2,2,0,0,"GEMLIK , ISTANBUL",TANGER MED,IONIKOS MARITIME LTD.,IONIKOS MARITIME LTD.,06/08/2025,21:59,06/08/2025,22:00,09/08/2025,10:58,09/08/2025,12:30,10/08/2025,16:55,74,10/08/25,17:46,258.92,12.6,"0,00","2,54","1,18","3,83",CONTENEURS,3500.0,CONTENEURS,3000.0
1070,CASABLANCA,JULIETA,CONVENTIONEL,2050,4.0,4.2,2.8,3.2,0,1,0,0,ARLES,A ORDRE,WEST TRADE LOGISTIC GMBH,INTERSCAN MANAGEMENT UG & CO. KG,09/08/2025,22:39,,,,,10/08/2025,00:15,10/08/2025,21:10,R2,10/08/25,22:15,87.95,4.94,"0,00","0,00","0,87","0,98",BOIS EN FARDEAUX PREELING,2002.0,,0.0
1071,CASABLANCA,A LA MARINE,PORTE CONTENEUR,16023,8.8,9.2,7.0,8.0,1,1,0,0,"LA SPEZIA , BEIRUT , EL ISKANDARIYA (= ALEXANDRIA) , MERSIN , SALERNO , GENOVA , BARCELONA",LEIXOES,CMA-CGM,WILHELMSEN SHIPMANAGEMENT SINGAPORE,05/08/2025,17:11,05/08/2025,17:12,07/08/2025,06:35,07/08/2025,09:25,09/08/2025,00:35,51,09/08/25,01:25,171.0,9.3,"0,00","1,56","1,63","3,34",CONTENEURS,11408.0,CONTENEURS,9000.0
1072,CASABLANCA,KARLINO,VRAQUIER,25278,9.5,9.5,5.38,6.8,2,2,0,0,DARROW,A ORDRE,BUNGE SA,MARMEDSA,29/07/2025,05:56,,,,,29/07/2025,08:35,09/08/2025,00:50,T3T4,09/08/25,01:40,179.99,9.75,"0,00","0,00","10,68","10,82",TOURTEAUX DE SOJA,27498.0,,0.0
1073,CASABLANCA,CIELO DI RABAT,PORTE CONTENEUR,21531,11.0,11.0,8.0,8.0,1,1,0,0,"ALGECIRAS , TANGER MED",ALGECIRAS,D AMICO DRY MAROC,D AMICO DRY LTD,04/08/2025,22:01,04/08/2025,22:02,06/08/2025,21:46,06/08/2025,22:35,09/08/2025,11:30,74,09/08/25,12:17,182.0,11.55,"0,00","1,99","2,54","4,59",CONTENEURS,25500.0,CONTENEURS,8000.0
1074,CASABLANCA,WEC MAJORELLE,PORTE CONTENEUR,6362,6.0,7.0,6.8,7.0,0,0,0,0,"ALGECIRAS , LISBOA , VIGO , LEIXOES",ALGECIRAS,ARA HALIFAX SHIPPING BV,ARA HALIFAX SHIPPING BV,06/08/2025,06:40,06/08/2025 | 06/08/2025,06:41 | 19:06,06/08/2025 | 09/08/2025,13:57 | 04:35,06/08/2025 | 09/08/2025,14:55 | 06:40,06/08/2025 | 09/08/2025,18:30 | 17:50,"54 ,71",09/08/25,18:46,121.83,6.69,"0,00","2,70","0,61","3,50",CONTENEURS,1658.0,CONTENEURS,950.0
1075,CASABLANCA,HELMUT,PORTE CONTENEUR,9981,8.1,8.2,7.4,7.4,0,0,0,0,"GEMLIK , ALIAGA , RADES/TUNIS , ISTANBUL",VALENCIA,TTS SHIFFAHRTS GMBH& CO.KG,TTS SHIFFAHRTS GMBH& CO.KG,05/08/2025,09:59,05/08/2025,10:00,07/08/2025,17:20,07/08/2025,18:15,09/08/2025,04:30,83,09/08/25,05:15,135.0,8.0,"0,00","2,31","1,43","3,80",CONTENEURS,6000.0,CONTENEURS,1300.0
1076,CASABLANCA,ESL EUROPA,CONVENTIONEL,11864,6.7,7.5,6.0,6.0,1,1,0,0,LAGOS,A ORDRE,GERLIA SHIPPING COMPANY LTD,,03/08/2025,07:22,03/08/2025,07:23,05/08/2025,13:55,05/08/2025,15:05,09/08/2025,19:35,30,09/08/25,21:04,143.0,9.71,"0,00","2,27","4,19","6,57",SON DE BLE EN VRAC,7200.0,,0.0
1077,CASABLANCA,TANGER A,PORTE CONTENEUR,15995,7.6,7.9,7.4,7.6,2,1,0,0,TANGER MED,TANGER MED,MAROC FEEDERING S.A,MAROC FEEDERING S.A,04/08/2025,23:36,04/08/2025,23:37,07/08/2025,04:25,07/08/2025,05:30,09/08/2025,04:00,71,09/08/25,04:50,170.05,9.5,"0,00","2,20","1,94","4,22",CONTENEURS,3000.0,CONTENEURS,2500.0
1078,CASABLANCA,TAMAL,NAVIRE DE GUERRE,2500,7.0,7.0,0.0,0.0,2,2,0,0,ASHTEAD/LONDON,A ORDRE,DIVERS,ARMEE INDIA,06/08/2025,06:38,,,,,06/08/2025,08:00,09/08/2025,12:00,E,09/08/25,12:35,124.8,4.95,"0,00","0,00","3,17","3,25",,0.0,,0.0
1079,CASABLANCA,BREB COUNTESS,CONVENTIONEL,5630,6.8,7.1,3.5,5.0,0,1,0,0,"WISMAR , ANTWERPEN , WILLEBROEK",A ORDRE,BREB GMBH & CO KG,BREB GMBH & CO KG,06/08/2025,07:36,06/08/2025,07:37,07/08/2025,10:33,07/08/2025,11:45,08/08/2025,15:35,10,08/08/25,17:10,108.2,7.01,"0,00","1,12","1,16","2,40",BOIS EN FARDEAUX PREELING,3293.0,,0.0
1080,CASABLANCA,MARIE,VRAQUIER,2061,3.0,3.5,2.8,3.2,0,0,0,0,CARTAGENA,A ORDRE,ISLAND ESCAPE SA,BOECKMANS NV,07/08/2025,10:17,07/08/2025 | 07/08/2025,10:18 | 17:34,07/08/2025 | 08/08/2025,14:27 | 17:57,07/08/2025,15:00,07/08/2025,17:00,72,08/08/25,17:58,88.47,4.96,"0,00","1,19","0,08","1,32",CONTENEURS,46.656,,0.0
1081,CASABLANCA,TITLIS,CONVENTIONEL,4990,6.0,7.0,2.9,4.2,0,0,0,0,VALENCIA,A ORDRE,NAVIERA CONSIGNATARIA SAN MAMES,TITLIS SHIPPING UNIPESSOAL LDA,07/08/2025,06:48,07/08/2025,06:51,07/08/2025,15:09,07/08/2025,16:00,08/08/2025,21:15,12,08/08/25,22:15,118.55,7.05,"0,00","0,35","1,22","1,64",SULFATE,5000.0,,0.0
1082,CASABLANCA,REK R,VRAQUIER,10490,4.3,4.88,8.74,8.9,2,2,0,0,CASABLANCA,VARNA,REK NAV MARITIME LTD,REK NAV MARITIME LTD,05/08/2025,13:06,05/08/2025,13:07,06/08/2025,14:06,06/08/2025,15:50,08/08/2025,05:10,66,08/08/25,06:21,143.5,8.82,"0,00","1,04","1,56","2,72",,0.0,PHOSPHATE VRAC,16200.0
1083,CASABLANCA,MASTERY D,PORTE CONTENEUR,8971,6.1,7.2,6.1,6.1,1,1,0,0,"GEMLIK , ALIAGA , RADES/TUNIS , ISTANBUL",VALENCIA,AKKON LINES,MS MASTERY D GMBH & CO KG,04/08/2025,22:16,04/08/2025,22:17,06/08/2025,15:46,06/08/2025,16:45,07/08/2025,17:25,83,07/08/25,18:11,154.0,6.97,"0,00","1,73","1,03","2,83",CONTENEURS,5250.0,CONTENEURS,1232.0
1084,CASABLANCA,TOP WEATHER,VRAQUIER,33125,6.0,7.0,5.0,6.0,2,2,0,0,LIANYUNGANG,A ORDRE,TOP WEATHER NAVIGATION S.A,TOP WEATHER NAVIGATION S.A,27/07/2025,10:51,,,,,27/07/2025,13:30,07/08/2025,16:30,"24 ,23",07/08/25,17:33,197.0,12.67,"0,00","0,00","11,13","11,28",FARDEAUX FER,15000.0,,0.0
1085,CASABLANCA,AK DISCOVERY,CONVENTIONEL,5381,6.0,6.5,8.8,9.0,1,0,0,0,CASABLANCA,A ORDRE,AK DISCOVERY MARITIME LTD,AK DISCOVERY MARITIME LTD,01/08/2025,20:11,01/08/2025,20:12,03/08/2025,08:25,03/08/2025,09:30,07/08/2025,01:30,32,07/08/25,02:38,107.57,5.7,"0,00","1,51","3,67","5,27",,0.0,SACS SUCRE,6000.0
1086,CASABLANCA,ADOMY,VRAQUIER,10490,7.0,8.6,5.6,6.0,2,2,0,0,ALIAGA,A ORDRE,NAOME SHIP MANAGEMENT L.L.C,NAOME SHIP MANAGEMENT L.L.C,30/07/2025,02:08,30/07/2025,02:09,30/07/2025,22:05,31/07/2025,00:00,07/08/2025,14:40,"13 ,13 ,13",07/08/25,15:41,143.5,8.8,"0,00","0,83","7,61","8,56",FARDEAUX FER,13888.0,,0.0
1087,CASABLANCA,WAGON ALFA,CONVENTIONEL,4803,6.84,7.03,2.4,4.2,0,1,0,0,AMSTERDAM,A ORDRE,PAN NAVIGATOR LTD C/O CHRISMARE LTD,PAN NAVIGATOR LTD C/O CHRISMARE LTD,31/07/2025,11:35,31/07/2025,11:36,04/08/2025,14:35,04/08/2025,15:40,07/08/2025,09:55,"10 ,10 ,12",07/08/25,11:03,118.55,7.34,"0,00","4,12","2,76","6,98",FERRAILLES EN VRAC,5640.1,,0.0
1088,CASABLANCA,MIMMI SCHULTE,PORTE CONTENEUR,27279,9.0,9.0,9.3,10.0,1,1,0,0,VALENCIA,ALGECIRAS,,,05/08/2025,03:01,,,,,05/08/2025,05:45,07/08/2025,08:15,51,07/08/25,09:08,189.0,10.5,"0,00","0,00","2,10","2,26",CONTENEURS,9700.0,CONTENEURS,2400.0
1089,CASABLANCA,ANGELINA THE GREAT N,VRAQUIER,31540,10.36,10.36,4.2,6.4,3,2,1,0,ITACOATIARA,A ORDRE,NOMIKOS TRANSWORLD MARITIME/CALYPSO,NOMIKOS TRANSWORLD MARITIME/CALYPSO,02/08/2025,00:59,02/08/2025,01:00,02/08/2025,01:05,02/08/2025,08:25,07/08/2025,22:05,"62 ,60",07/08/25,23:09,190.0,12.73,"0,00","0,00","5,57","5,92",MAIS,40800.004,,0.0
1090,CASABLANCA,SHEKOU STAR,PORTE CONTENEUR,39906,9.8,10.3,9.0,9.0,2,2,0,0,"GEMLIK , TEMA , ISTANBUL",TANGER MED,HAPAG LLOYD-HAMBOURG- G E R M A N Y,ARMADA SHIPPING CORPORATION,03/08/2025,09:27,03/08/2025,09:28,06/08/2025,13:17,06/08/2025,16:40,07/08/2025,10:55,80,07/08/25,11:51,260.68,12.6,"0,00","3,16","0,76","4,10",CONTENEURS,3000.0,CONTENEURS,3000.0
1091,CASABLANCA,OCEAN TRADER,CONVENTIONEL,6668,7.8,8.1,3.5,5.0,1,0,0,0,"HOLMSUND , ÖRKELLJUNGA",AGADIR,D AMICO TANKERS LIMITED,OCEAN STAR SHIPPING GMBH & CO.KG,03/08/2025,07:26,03/08/2025,07:27,05/08/2025,15:35,05/08/2025,16:30,07/08/2025,13:35,35,07/08/25,14:24,107.0,8.2,"0,00","2,34","1,88","4,29",BOIS EN FARDEAUX PREELING,4730.0,,0.0
1092,CASABLANCA,SEA BARON,CONVENTIONEL,2561,6.2,6.2,4.0,4.0,0,2,0,0,"KOPER , PORTO NOGARO , RIJEKA",A ORDRE,CONTI-CARWIL LTD.,OPTIMAL COASTER SHIP LTD,04/08/2025,20:56,06/08/2025,22:30,07/08/2025,13:19,04/08/2025 | 07/08/2025,23:00 | 14:20,06/08/2025 | 07/08/2025,21:00 | 19:55,"T2 ,T2",07/08/25,20:55,87.96,6.4,"0,00","0,62","2,15","3,00",BOIS EN FARDEAUX,1478.349,,0.0
1093,CASABLANCA,MAERSK NORFOLK,PORTE CONTENEUR,25888,8.65,10.4,11.0,11.0,1,1,0,0,BARCELONA,ALGECIRAS,MAERSK LINE,MAERSK LINE,04/08/2025,07:09,04/08/2025,07:10,06/08/2025,05:03,06/08/2025,06:40,07/08/2025,04:10,71,07/08/25,05:16,211.0,11.4,"0,00","1,91","0,90","2,92",CONTENEURS,20000.0,CONTENEURS,9900.0
1094,CASABLANCA,SIDER AMBOS,VRAQUIER,13059,8.15,8.45,4.1,5.6,1,0,0,0,ROUEN,A ORDRE,NH SHIPPING UMITED,NH SHIPPING UMITED,05/08/2025,09:33,,,,,05/08/2025,11:35,07/08/2025,12:35,20,07/08/25,13:33,139.91,8.91,"0,00","0,00","2,04","2,17",BLE TENDRE,16499.904,,0.0
1095,CASABLANCA,NEPTUNE ODYSSEY,ROULIER,36902,8.0,8.0,7.9,7.9,1,1,0,0,"GEMLIK , SETÚBAL , YARIMCA , BARCELONA , VIGO",TANGER MED,NEPTUNE LINES,NEPTUNE LINES SHIPPING,07/08/2025,05:39,,,,,07/08/2025,06:50,07/08/2025,19:20,44,07/08/25,20:04,169.55,8.7,"0,00","0,00","0,52","0,60",VEHICULES,1046.0,,0.0
1096,CASABLANCA,CMA CGM DAKHLA,PORTE CONTENEUR,10585,7.5,8.4,7.0,8.0,1,1,0,0,TANGER MED,AGADIR,CMA-CGM,COMANAV,04/08/2025,15:22,04/08/2025,15:23,05/08/2025,06:55,05/08/2025,07:40,06/08/2025,13:20,54,06/08/25,14:07,151.74,8.0,"0,00","0,65","1,24","1,95",CONTENEURS,3990.0,CONTENEURS,3236.0
1097,CASABLANCA,MSC AGNA II,PORTE CONTENEUR,17068,10.5,10.5,10.3,10.3,2,2,0,0,"ALGER (ALGIERS) , TEKIRDAG , ALIAGA , DERINCE , BARCELONA",SINES,MSC GENEVE,MSC GENEVE,02/08/2025,14:04,02/08/2025,14:05,06/08/2025,00:45,06/08/2025,01:55,06/08/2025,14:50,83,06/08/25,15:43,180.42,9.5,"0,00","3,44","0,54","4,07",CONTENEURS,2898.0,CONTENEURS,5604.0
1098,CASABLANCA,MSC TAMARA,PORTE CONTENEUR,41225,10.5,10.5,10.3,10.3,2,2,0,0,"LA SPEZIA , CASTELLON DE LA PLANA , VALENCIA , BARCELONA",LA SPEZIA,MSC GENEVE,MSC GENEVE,31/07/2025,18:46,31/07/2025,18:47,02/08/2025,08:30,02/08/2025,09:45,06/08/2025,01:00,83,06/08/25,01:39,265.0,10.5,"0,00","1,57","3,64","5,29",CONTENEURS,35700.0,CONTENEURS,11500.0
1099,CASABLANCA,K-RIVER,PORTE CONTENEUR,6362,6.7,6.9,6.7,6.9,0,0,0,0,"ALGECIRAS , VALENCIA , BARCELONA",ALGECIRAS,K-RIVER SCHIFFAHRTS GMBH & CO. KG,"MS"" AHS WINTERHUDE """,03/08/2025,21:09,03/08/2025,21:10,05/08/2025,21:18,05/08/2025,22:00,06/08/2025,05:45,71,06/08/25,06:23,122.0,6.69,"0,00","2,01","0,32","2,39",CONTENEURS,861.0,CONTENEURS,790.0
1100,CASABLANCA,SMALAND,CONVENTIONEL,5057,2.8,4.3,6.8,7.25,0,0,0,0,SANTA AGUEDA,SETÚBAL,SCHIFFARTSKONTOR TON WORDEN GMBH,MS SMALAND GMBH & COMPANY KG,28/07/2025,06:37,28/07/2025,06:38,05/08/2025,05:50,05/08/2025,07:00,06/08/2025,14:00,66,06/08/25,14:58,119.96,7.03,"0,00","7,97","1,29","9,35",,0.0,PHOSPHATE VRAC,7500.0
